1	1.76911e+07
10	2.46277e+07
11	2.4541e+07
12	2.55211e+07
13	2.36117e+07
14	2.57173e+07
15	2.34976e+07
16	2.44385e+07
16_A	2.31946e+07
17	2.32595e+07
18	2.31834e+07
19	2.32337e+07
2	1.85182e+07
20	2.32936e+07
21	2.31608e+07
22	2.32163e+07
23	2.32782e+07
24	2.32715e+07
25	2.32338e+07
26	2.31542e+07
27	2.32565e+07
28	2.32361e+07
29	2.31693e+07
3	2.47142e+07
30	2.31853e+07
31	2.32711e+07
32	2.31819e+07
33	2.32251e+07
34	2.31824e+07
35	2.31779e+07
36	2.32059e+07
37	2.31186e+07
38	2.32458e+07
39	2.31277e+07
4	2.48463e+07
5	2.47585e+07
6	2.59106e+07
7	2.30319e+07
8	2.47165e+07
9	2.27774e+07
